Latitude,Longitude,Stop Name,Stop Status
40.755481,-73.987353,7 AV/W 41 ST,at stop
40.816389,-73.939284,MALCOLM X BL/W 139 ST,at stop
40.795203,-73.965812,COLUMBUS AV/W 100 ST,at stop
40.785265,-73.973065,COLUMBUS AV/W 84 ST,approaching
40.79944,-73.963347,W 106 ST/COLUMBUS AV,approaching
40.80635,-73.946624,MALCOLM X BL/W 122 ST,approaching
40.777926,-73.981948,AMSTERDAM AV/W 72 ST,approaching
40.776986,-73.981981,AMSTERDAM AV/W 72 ST,< 1 stop away
40.737691,-73.996596,AV OF THE AMERICAS/W 18 ST,< 1 stop away
40.750197,-73.987477,AV OF THE AMERICAS/W 38 ST,< 1 stop away
